	phcn		gc3n4			
691	0.09671	691	0.105674093341454			
690.5	0.09917	690.5	0.105352355959592			
690	0.09849	690	0.106632216848681			
689.5	0.09725	689.5	0.105747728380738			
689	0.099	689	0.105746571052026			
688.5	0.09848	688.5	0.105794744859652			
688	0.09839	688	0.106269972961908			
687.5	0.09933	687.5	0.107245456399811			
687	0.09839	687	0.105181939306789			
686.5	0.09918	686.5	0.105848849976926			
686	0.09871	686	0.104902589088994			
685.5	0.09857	685.5	0.104885229158318			
685	0.09802	685	0.103087319004639			
684.5	0.10008	684.5	0.104846313980386			
684	0.09915	684	0.10361086558061			
683.5	0.09803	683.5	0.105333694034115			
683	0.09916	683	0.102245217700764			
682.5	0.09915	682.5	0.10410649160141			
682	0.09803	682	0.10350308934433			
681.5	0.09912	681.5	0.10370894918893			
681	0.09976	681	0.104566385098236			
680.5	0.10042	680.5	0.104188227941676			
680	0.10003	680	0.105492248067623			
679.5	0.10058	679.5	0.104940780936481			
679	0.09979	679	0.106726539138687			
678.5	0.1012	678.5	0.10585810860662			
678	0.10084	678	0.104146419441965			
677.5	0.10056	677.5	0.107007336017372			
677	0.09985	677	0.107019632634934			
676.5	0.10083	676.5	0.104899406435037			
676	0.10069	676	0.105903967756822			
675.5	0.10148	675.5	0.106147296118464			
675	0.10226	675	0.10622628380304			
674.5	0.10191	674.5	0.105308522134635			
674	0.1034	674	0.106058037141572			
673.5	0.10257	673.5	0.105826716065314			
673	0.10294	673	0.105531307911644			
672.5	0.10261	672.5	0.106849939312576			
672	0.10121	672	0.104493618055485			
671.5	0.10377	671.5	0.105635322829611			
671	0.10313	671	0.105671923350119			
670.5	0.10333	670.5	0.104570869746993			
670	0.10398	670	0.105885595163523			
669.5	0.10507	669.5	0.107716923183753			
669	0.10305	669	0.106785562902985			
668.5	0.10402	668.5	0.106760246337416			
668	0.10365	668	0.104365877898928			
667.5	0.10327	667.5	0.108274176958453			
667	0.10428	667	0.104524721264613			
666.5	0.10527	666.5	0.106837642695014			
666	0.10532	666	0.106158724739493			
665.5	0.10472	665.5	0.10688292318086			
665	0.10498	665	0.106860789269248			
664.5	0.10388	664.5	0.106279376257691			
664	0.10352	664	0.105749030375539			
663.5	0.10618	663.5	0.106025487271554			
663	0.10547	663	0.108740580429282			
662.5	0.10676	662.5	0.106376302537299			
662	0.10643	662	0.104527180588126			
661.5	0.10636	661.5	0.106730589789178			
661	0.10581	661	0.106260135667858			
660.5	0.10651	660.5	0.111271368989667			
660	0.10643	660	0.105974998806505			
659.5	0.10542	659.5	0.106613844255382			
659	0.10712	659	0.107518875307958			
658.5	0.10598	658.5	0.106579269060119			
658	0.10742	658	0.108279384937656			
657.5	0.10649	657.5	0.106547587186635			
657	0.1071	657	0.104727253789167			
656.5	0.10745	656.5	0.105509029333943			
656	0.1072	656	0.106509829337415			
655.5	0.10775	655.5	0.105586570357629			
655	0.10706	655	0.106764296987907			
654.5	0.10832	654.5	0.106502306700789			
654	0.1098	654	0.105458106870627			
653.5	0.10797	653.5	0.108138335500914			
653	0.10893	653	0.107341370016796			
652.5	0.10816	652.5	0.106812181463355			
652	0.10854	652	0.108213706533265			
651.5	0.10861	651.5	0.103946490907013			
651	0.10891	651	0.107226794474334			
650.5	0.10969	650.5	0.104889569140987			
650	0.10884	650	0.107204515896633			
649.5	0.10875	649.5	0.106945852929561			
649	0.10959	649	0.107286541569077			
648.5	0.10978	648.5	0.106939342955557			
648	0.10998	648	0.105895287791484			
647.5	0.1092	647.5	0.106848203319508			
647	0.11106	647	0.107816019454696			
646.5	0.11	646.5	0.107794608873529			
646	0.11086	646	0.10765153411154			
645.5	0.11045	645.5	0.106622813552898			
645	0.11078	645	0.107869256575435			
644.5	0.11139	644.5	0.105924510341455			
644	0.11044	644	0.106461076865433			
643.5	0.11218	643.5	0.109286694915132			
643	0.11213	643	0.106536303231696			
642.5	0.11268	642.5	0.108560037150252			
642	0.11183	642	0.106093046335102			
641.5	0.11316	641.5	0.106828818063587			
641	0.11342	641	0.108775444956723			
640.5	0.11344	640.5	0.108519385979252			
640	0.11351	640	0.106069755094778			
639.5	0.11315	639.5	0.107046395861393			
639	0.11358	639	0.107113231594495			
638.5	0.11359	638.5	0.107249507050302			
638	0.11368	638	0.107899491788029			
637.5	0.1124	637.5	0.10831670878861			
637	0.11391	637	0.105566172439085			
636.5	0.11473	636.5	0.10762216689548			
636	0.11375	636	0.105735865761443			
635.5	0.11479	635.5	0.107440032289471			
635	0.11548	635	0.10803243992379			
634.5	0.11573	634.5	0.108594178347248			
634	0.11556	634	0.107892837147937			
633.5	0.1153	633.5	0.106637135495706			
633	0.11543	633	0.108333634721019			
632.5	0.11589	632.5	0.109292626224779			
632	0.11562	632	0.108026653280231			
631.5	0.11642	631.5	0.107500647380748			
631	0.11784	631	0.106345488660349			
630.5	0.11598	630.5	0.108230921797852			
630	0.11606	630	0.107841770018532			
629.5	0.11762	629.5	0.108193742612988			
629	0.11825	629	0.108696891270414			
628.5	0.11676	628.5	0.108908971756839			
628	0.11828	628	0.107503685368616			
627.5	0.11755	627.5	0.108937326310277			
627	0.11738	627	0.109155482772439			
626.5	0.11782	626.5	0.109417762391736			
626	0.11803	626	0.108077575743548			
625.5	0.11879	625.5	0.106460787533255			
625	0.11956	625	0.107390411820955			
624.5	0.1183	624.5	0.106758510344349			
624	0.11839	624	0.109838162046273			
623.5	0.11758	623.5	0.11016756673085			
623	0.12096	623	0.108693853282546			
622.5	0.12052	622.5	0.108790924228243			
622	0.11949	622	0.108208064555796			
621.5	0.11907	621.5	0.108770670975787			
621	0.12197	621	0.109498920067646			
620.5	0.12132	620.5	0.108975373491675			
620	0.12135	620	0.107704192567924			
619.5	0.12088	619.5	0.107908461085545			
619	0.12179	619	0.109741091100576			
618.5	0.12151	618.5	0.110528074624555			
618	0.12087	618	0.110546736550032			
617.5	0.12166	617.5	0.110125034900694			
617	0.12165	617	0.110449231606068			
616.5	0.12249	616.5	0.10721753584464			
616	0.1228	616	0.109852917987348			
615.5	0.12354	615.5	0.10994492561993			
615	0.12323	615	0.108085966376708			
614.5	0.12323	614.5	0.109469986849853			
614	0.12336	614	0.109855955975216			
613.5	0.12462	613.5	0.108849079996007			
613	0.12493	613	0.109174144697916			
612.5	0.12481	612.5	0.109128140881624			
612	0.12505	612	0.109713749209761			
611.5	0.12505	611.5	0.109478377483013			
611	0.12583	611	0.109866371933621			
610.5	0.12563	610.5	0.109249949728534			
610	0.12606	610	0.10971534053674			
609.5	0.12589	609.5	0.109673821369207			
609	0.12601	609	0.109747167076313			
608.5	0.1263	608.5	0.111312454158933			
608	0.12623	608	0.110833320072275			
607.5	0.12751	607.5	0.111326776101741			
607	0.12705	607	0.111589200387126			
606.5	0.12705	606.5	0.109849156669034			
606	0.12802	606	0.110339140712365			
605.5	0.12797	605.5	0.112234989808274			
605	0.12734	605	0.111859002643049			
604.5	0.12695	604.5	0.110853573324731			
604	0.12773	604	0.111419651730857			
603.5	0.12828	603.5	0.109351215990811			
603	0.12956	603	0.113408665788061			
602.5	0.1296	602.5	0.111977773502091			
602	0.12965	602	0.111631732217283			
601.5	0.12952	601.5	0.111482002815202			
601	0.13065	601	0.111658206111564			
600.5	0.13123	600.5	0.109934943659792			
600	0.1306	600	0.10994362362513			
599.5	0.13064	599.5	0.111348765347264			
599	0.12996	599	0.112013072027799			
598.5	0.13013	598.5	0.111823704117342			
598	0.13139	598	0.111700882607809			
597.5	0.13139	597.5	0.11139274383831			
597	0.13219	597	0.112201137943456			
596.5	0.13208	596.5	0.111394913829644			
596	0.13241	596	0.114297638904762			
595.5	0.13288	595.5	0.111384931869505			
595	0.13262	595	0.110389773843503			
594.5	0.13407	594.5	0.113121214269284			
594	0.13309	594	0.110949631607804			
593.5	0.13417	593.5	0.110271436982728			
593	0.13482	593	0.114059807854501			
592.5	0.133	592.5	0.111677880699663			
592	0.13512	592	0.110780372283713			
591.5	0.13492	591.5	0.11361322363786			
591	0.1352	591	0.113291920254265			
590.5	0.13504	590.5	0.111092851035882			
590	0.13472	590	0.113750801088468			
589.5	0.13604	589.5	0.114411057118512			
589	0.13673	589	0.113038175934217			
588.5	0.13648	588.5	0.114576121126023			
588	0.13638	588	0.114039843934223			
587.5	0.13632	587.5	0.113481722162989			
587	0.13883	587	0.113428195710072			
586.5	0.13827	586.5	0.112940815656343			
586	0.13818	586	0.114644548186104			
585.5	0.13892	585.5	0.114796447579519			
585	0.13736	585	0.114496988775358			
584.5	0.1387	584.5	0.11390024115837			
584	0.13909	584	0.115397535179176			
583.5	0.14034	583.5	0.115690484009334			
583	0.13971	583	0.11634770205151			
582.5	0.14057	582.5	0.115068998491133			
582	0.14054	582	0.114654530146243			
581.5	0.14125	581.5	0.117376567276241			
581	0.1409	581	0.115347914710661			
580.5	0.14087	580.5	0.116406147151452			
580	0.14209	580	0.116772152356538			
579.5	0.14143	579.5	0.116078333793854			
579	0.14313	579	0.114292864923826			
578.5	0.1424	578.5	0.116234717836027			
578	0.1424	578	0.116730488522916			
577.5	0.14255	577.5	0.115945385658093			
577	0.14336	577	0.1167634723912			
576.5	0.14391	576.5	0.117047885922109			
576	0.14456	576	0.116880362591085			
575.5	0.14514	575.5	0.117613964328236			
575	0.14415	575	0.119856867371576			
574.5	0.14576	574.5	0.117186042037072			
574	0.1451	574	0.118166154789822			
573.5	0.14508	573.5	0.118294907609002			
573	0.14689	573	0.120614773011673			
572.5	0.14524	572.5	0.118750895121425			
572	0.14624	572	0.119088979771341			
571.5	0.1461	571.5	0.119095489745344			
571	0.14774	571	0.121263889752867			
570.5	0.14756	570.5	0.119052957915188			
570	0.14883	570	0.120652241528716			
569.5	0.1489	569.5	0.120080810477297			
569	0.14801	569	0.120493832161297			
568.5	0.14954	568.5	0.119967247597458			
568	0.14926	568	0.118798056266429			
567.5	0.15038	567.5	0.121104757055004			
567	0.1504	567	0.121175788104686			
566.5	0.15009	566.5	0.122256009791001			
566	0.15013	566	0.120992640836054			
565.5	0.15094	565.5	0.120055638577817			
565	0.1517	565	0.121221357922711			
564.5	0.15102	564.5	0.120890795909422			
564	0.15294	564	0.121759226441489			
563.5	0.15283	563.5	0.123143536246812			
563	0.15452	563	0.123885094618855			
