	g-C3N4-TiO2/water	PhCN-TiO2/Ethanol	PhCN-TiO2/water			
684	0.071304	0.099149	0.083778			
683.5	0.071447	0.098025	0.084274			
683	0.070545	0.099158	0.086225			
682.5	0.07139	0.099146	0.085498			
682	0.069961	0.098028	0.084322			
681.5	0.070884	0.09912	0.085331			
681	0.06921	0.099757	0.08365			
680.5	0.070958	0.100416	0.086991			
680	0.070217	0.100029	0.085306			
679.5	0.07202	0.100581	0.086107			
679	0.071116	0.099788	0.08595			
678.5	0.070486	0.101201	0.085602			
678	0.069799	0.100838	0.086797			
677.5	0.070296	0.10056	0.084794			
677	0.069763	0.09985	0.084874			
676.5	0.07069	0.100833	0.086737			
676	0.071896	0.100692	0.085624			
675.5	0.072779	0.101481	0.086358			
675	0.070577	0.102257	0.085847			
674.5	0.07083	0.101906	0.086376			
674	0.070415	0.103404	0.086295			
673.5	0.069709	0.102569	0.085846			
673	0.071724	0.102943	0.086155			
672.5	0.071169	0.10261	0.086252			
672	0.069749	0.101213	0.08734			
671.5	0.069962	0.103768	0.086396			
671	0.069396	0.103133	0.086263			
670.5	0.071163	0.103326	0.08667			
670	0.07078	0.103979	0.085415			
669.5	0.072203	0.105065	0.088001			
669	0.07094	0.103045	0.087531			
668.5	0.070687	0.104024	0.088154			
668	0.071192	0.103653	0.088233			
667.5	0.069976	0.103269	0.087155			
667	0.0705	0.104282	0.087777			
666.5	0.07095	0.105266	0.087023			
666	0.072161	0.105318	0.088308			
665.5	0.070901	0.104719	0.087607			
665	0.070668	0.104975	0.087792			
664.5	0.069812	0.103881	0.087622			
664	0.06965	0.103515	0.08662			
663.5	0.071799	0.106183	0.088556			
663	0.069845	0.10547	0.087113			
662.5	0.07133	0.106762	0.089486			
662	0.070375	0.106429	0.089177			
661.5	0.070763	0.106356	0.088147			
661	0.069624	0.105808	0.088245			
660.5	0.070511	0.106511	0.08902			
660	0.070644	0.106433	0.088946			
659.5	0.070316	0.105416	0.088764			
659	0.071395	0.107118	0.089201			
658.5	0.070102	0.105982	0.089362			
658	0.07034	0.107423	0.089474			
657.5	0.069402	0.106486	0.088728			
657	0.070337	0.1071	0.088749			
656.5	0.069431	0.107454	0.089419			
656	0.071303	0.1072	0.089184			
655.5	0.07086	0.107751	0.088955			
655	0.070031	0.107063	0.08871			
654.5	0.069679	0.108316	0.08956			
654	0.07012	0.109799	0.089339			
653.5	0.070706	0.107971	0.08944			
653	0.070718	0.108929	0.089516			
652.5	0.068622	0.108155	0.089108			
652	0.070587	0.108544	0.090749			
651.5	0.070181	0.108611	0.090009			
651	0.069586	0.108909	0.090225			
650.5	0.070517	0.109693	0.090093			
650	0.071002	0.108837	0.090282			
649.5	0.06921	0.108752	0.089842			
649	0.069777	0.109588	0.090384			
648.5	0.068801	0.109775	0.090678			
648	0.069951	0.109976	0.090981			
647.5	0.06982	0.109197	0.090797			
647	0.069244	0.111062	0.091288			
646.5	0.069729	0.109999	0.090834			
646	0.069563	0.110864	0.090782			
645.5	0.069655	0.110446	0.090996			
645	0.069532	0.110777	0.091068			
644.5	0.069283	0.111388	0.091093			
644	0.069138	0.110439	0.090424			
643.5	0.070162	0.112179	0.092239			
643	0.070268	0.112127	0.091897			
642.5	0.069733	0.112684	0.092084			
642	0.068873	0.111829	0.091264			
641.5	0.069168	0.113161	0.090595			
641	0.070369	0.113417	0.09267			
640.5	0.069764	0.113443	0.092247			
640	0.069594	0.113511	0.090808			
639.5	0.068104	0.11315	0.090117			
639	0.069828	0.113577	0.090709			
638.5	0.069467	0.113585	0.092101			
638	0.068351	0.113684	0.092386			
637.5	0.068292	0.1124	0.090132			
637	0.069309	0.113911	0.09182			
636.5	0.069915	0.114728	0.094136			
636	0.068992	0.113749	0.092117			
635.5	0.069685	0.114785	0.092266			
635	0.070115	0.115479	0.092195			
634.5	0.068872	0.115733	0.092109			
634	0.068098	0.115558	0.093692			
633.5	0.069332	0.115296	0.093411			
633	0.068457	0.115425	0.093378			
632.5	0.070488	0.115889	0.094284			
632	0.068425	0.11562	0.092703			
631.5	0.068568	0.116419	0.093421			
631	0.069133	0.117841	0.093937			
630.5	0.067048	0.115977	0.092519			
630	0.068622	0.11606	0.093902			
629.5	0.068379	0.117618	0.09451			
629	0.068863	0.118245	0.093807			
628.5	0.068591	0.11676	0.093398			
628	0.068821	0.118275	0.095601			
627.5	0.068602	0.117552	0.093016			
627	0.066718	0.117378	0.094484			
626.5	0.067876	0.117818	0.09523			
626	0.068622	0.118025	0.094369			
625.5	0.06864	0.118785	0.095821			
625	0.068757	0.119562	0.094752			
624.5	0.067199	0.118297	0.094245			
