	gC3N4		g-C3N4 hyb		PhCN		PhCN/Rutile		PhCN/anatase
0.9279918	11	0.9121795	17	0.9240388	35	0.9161327	9	0.9240388	10
0.9299682	19	0.9141561	21	0.9260153	27	0.9181094	13	0.9260153	10
0.9319446	6	0.9161327	12	0.9279918	25	0.9200858	5	0.9279918	7
0.933921	19	0.9181094	9	0.9299682	30	0.9220623	6	0.9299682	4
0.9358974	23	0.9200858	16	0.9319446	26	0.9240388	4	0.9319446	6
0.9378737	15	0.9220623	21	0.933921	34	0.9260153	4	0.933921	4
0.93985	12	0.9240388	9	0.9358974	30	0.9279918	11	0.9358974	9
0.9418262	14	0.9260153	17	0.9378737	25	0.9299682	3	0.9378737	5
0.9438025	9	0.9279918	20	0.93985	29	0.9319446	4	0.93985	3
0.9457787	9	0.9299682	14	0.9418262	37	0.933921	7	0.9418262	5
0.9477549	8	0.9319446	18	0.9438025	29	0.9358974	8	0.9438025	5
0.9497311	14	0.933921	22	0.9457787	30	0.9378737	4	0.9457787	5
0.9517072	19	0.9358974	15	0.9477549	28	0.93985	7	0.9477549	5
0.9536833	13	0.9378737	14	0.9497311	20	0.9418262	10	0.9497311	8
0.9556594	12	0.93985	14	0.9517072	24	0.9438025	7	0.9517072	9
0.9576355	12	0.9418262	17	0.9536833	39	0.9457787	6	0.9536833	2
0.9596115	11	0.9438025	20	0.9556594	29	0.9477549	9	0.9556594	4
0.9615875	11	0.9457787	17	0.9576355	25	0.9497311	7	0.9576355	2
0.9635635	17	0.9477549	11	0.9596115	26	0.9517072	11	0.9596115	8
0.9655394	15	0.9497311	15	0.9615875	30	0.9536833	5	0.9615875	4
0.9675153	13	0.9517072	18	0.9635635	24	0.9556594	4	0.9635635	2
0.9694912	19	0.9536833	13	0.9655394	28	0.9576355	4	0.9655394	4
0.9714671	8	0.9556594	15	0.9675153	36	0.9596115	8	0.9675153	7
0.9734429	9	0.9576355	13	0.9694912	22	0.9615875	9	0.9694912	2
0.9754186	17	0.9596115	20	0.9714671	21	0.9635635	3	0.9714671	4
0.9773944	12	0.9615875	11	0.9734429	37	0.9655394	7	0.9734429	9
0.9793702	5	0.9635635	12	0.9754186	22	0.9675153	2	0.9754186	1
0.9813458	8	0.9655394	18	0.9773944	23	0.9694912	8	0.9773944	7
0.9833215	15	0.9675153	13	0.9793702	29	0.9714671	8	0.9793702	5
0.9852971	11	0.9694912	17	0.9813458	26	0.9734429	6	0.9813458	5
0.9872727	12	0.9714671	10	0.9833215	19	0.9754186	10	0.9833215	4
0.9892483	8	0.9734429	19	0.9852971	21	0.9773944	8	0.9852971	4
0.9912238	7	0.9754186	24	0.9872727	19	0.9793702	4	0.9872727	5
0.9931993	11	0.9773944	15	0.9892483	29	0.9813458	7	0.9892483	7
0.9951748	9	0.9793702	14	0.9912238	30	0.9833215	6	0.9912238	5
0.9971502	16	0.9813458	12	0.9931993	28	0.9852971	3	0.9931993	2
0.9991256	14	0.9833215	15	0.9951748	19	0.9872727	8	0.9951748	3
1.001101	13	0.9852971	19	0.9971502	36	0.9892483	9	0.9971502	10
1.003076	10	0.9872727	13	0.9991256	34	0.9912238	3	0.9991256	0
1.005051	6	0.9892483	6	1.001101	26	0.9931993	6	1.001101	5
1.007027	13	0.9912238	12	1.003076	21	0.9951748	7	1.003076	3
1.009002	17	0.9931993	12	1.005051	24	0.9971502	7	1.005051	5
1.010977	9	0.9951748	20	1.007027	26	0.9991256	6	1.007027	6
1.012952	11	0.9971502	8	1.009002	21	1.001101	5	1.009002	4
1.014927	11	0.9991256	6	1.010977	38	1.003076	6	1.010977	15
1.016902	16	1.001101	11	1.012952	29	1.005051	4	1.012952	5
1.018878	17	1.003076	12	1.014927	25	1.007027	7	1.014927	0
1.020853	16	1.005051	12	1.016902	22	1.009002	4	1.016902	0
1.022828	20	1.007027	18	1.018878	31	1.010977	6	1.018878	4
1.024802	11	1.009002	15	1.020853	30	1.012952	5	1.020853	4
1.026777	13	1.010977	14	1.022828	27	1.014927	8	1.022828	3
1.028752	8	1.012952	11	1.024802	29	1.016902	6	1.024802	1
1.030727	15	1.014927	13	1.026777	20	1.018878	3	1.026777	4
1.032702	13	1.016902	14	1.028752	24	1.020853	5	1.028752	4
1.034676	13	1.018878	14	1.030727	30	1.022828	4	1.030727	5
1.036651	14	1.020853	12	1.032702	15	1.024802	5	1.032702	1
1.038625	8	1.022828	11	1.034676	20	1.026777	7	1.034676	2
1.0406	7	1.024802	7	1.036651	23	1.028752	10	1.036651	1
1.042575	17	1.026777	21	1.038625	17	1.030727	5	1.038625	1
1.044549	13	1.028752	13	1.0406	32	1.032702	5	1.0406	5
