	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
26.8367	3833	13427	8060
26.8868	3052	14458	8633
26.9369	3354	14635	8815
26.987	3458	15833	9622
27.0371	3115	16135	9297
27.0873	3354	16906	9824
27.1374	3313	17188	9401
27.1875	3427	18458	9740
27.2376	3156	18635	10065
27.2877	3250	19448	10189
27.3378	3531	20354	10534
27.3879	3219	20115	10397
27.438	3333	20594	10150
27.4881	3708	20979	9980
27.5382	3750	21396	10111
27.5883	3656	21656	9577
27.6886	3885	23906	9219
27.7387	3813	22760	8965
27.7888	3719	22740	8112
27.8389	4135	21188	7910
27.889	3573	19833	6947
27.9391	3469	18146	6725
27.9892	3271	17240	6504
28.0393	3198	15948	6042
28.0894	2792	14094	5801
28.1395	3177	12833	5456
28.1896	2823	11625	5638
28.2398	2865	10385	5299
28.2899	2323	10104	4935
28.34	2198	9260	4414
28.3901	2625	9094	4297
28.4402	2198	8542	4316
28.4903	2646	7875	4056
28.5404	2406	7438	3965
28.5905	1969	7510	3783
28.6406	1979	6854	3737
28.6907	2115	6406	3451
28.7408	2010	6552	3392
28.791	2177	6000	3184
28.8411	1969	6188	3053
28.8912	2219	5865	2949
28.9413	1833	5656	2754
28.9914	2063	5906	2936
29.0415	1750	5615	2839
29.0916	1969	5188	2917
29.1417	1833	5198	2799
29.1918	1958	5510	2793
29.2419	2031	5365	2637
29.292	1760	4740	2461
29.3422	1844	4833	2650
29.3923	1573	5292	2480
29.4424	1719	4823	2207
29.4925	1604	4656	2389
29.5426	1771	4781	2279
29.5927	1729	4354	2298
29.6428	1885	4813	2181
29.6929	1760	4073	2318
29.743	1740	3823	2227
29.7931	1708	4094	2070
29.8432	1708	4104	2109
29.8934	1542	3844	2187
29.9435	1875	3740	1829
29.9936	1729	4219	1927
30.0437	1479	3917	2070
30.0938	1583	3635	2181
30.1439	1583	3875	2142
30.194	1646	3510	1777
30.2441	1781	4073	1823
30.2942	1458	3927	1816
30.3443	1510	3729	1758
30.3944	1490	3656	1868
30.4446	1458	3740	1823
30.4947	1604	3573	1725
30.5448	1375	3521	1654
30.5949	1510	3313	1634
30.645	1573	3615	1849
30.6951	1615	3365	1719
30.7452	1542	3260	1855
30.7953	1531	3031	1803
30.8454	1927	3135	1706
30.8955	1375	3510	1608
30.9456	1583	3313	1895
30.9957	1302	3458	1569
31.0459	1469	3219	1712
31.096	1406	3177	1641
31.1461	1219	3167	1569
31.1962	1594	3167	1608
31.2463	1583	3063	1478
31.2964	1469	3104	1576
31.3465	1469	3365	1530
31.3966	1500	3198	1647
31.4467	1448	3344	1504
31.4968	1385	3115	1667
31.5469	1479	2781	1628
31.5971	1500	3188	1432
31.6472	1354	2917	1628
31.6973	1469	2833	1523
31.7474	1625	2885	1497
31.7975	1542	3135	1523
31.8476	1677	2958	1439
31.8977	1396	3188	1432
31.9478	1250	3167	1328
31.9979	1323	2813	1315
32.048	1385	2875	1354
32.0981	1250	2688	1374
32.1483	1646	2927	1530
32.1984	1344	2833	1504
32.2485	1177	2573	1367
32.2986	1438	3010	1387
32.3487	1552	2406	1602
32.3988	1385	2677	1413
32.4489	1490	2719	1510
32.499	1313	2510	1576
32.5491	1563	2906	1393
32.5992	1219	3063	1413
32.6493	1438	2281	1406
32.6995	1260	2729	1536
32.7496	1365	2396	1510
32.7997	1479	2677	1426
32.8498	1313	2542	1465
32.8999	1281	2469	1322
32.95	1167	2531	1387
33.0001	1448	2906	1458
33.0502	1135	2854	1348
33.1003	1292	2844	1250
33.1504	1167	2688	1426
33.2005	1208	2813	1523
33.2507	1344	2708	1185
33.3008	1219	2448	1283
33.3509	1354	2813	1237
33.401	1115	2760	1419
33.4511	1260	2719	1445
33.5012	1198	2458	1335
33.5513	1219	2688	1432
33.6014	1240	2500	1328
33.6515	1344	2615	1452
33.7016	1552	2438	1400
33.7517	990	2875	1439
33.8018	1219	2698	1367
33.852	1156	2271	1361
33.9021	1479	2875	1374
33.9522	1344	2802	1374
34.0023	1188	2521	1374
34.0524	1021	2708	1276
34.1025	1427	2688	1497
34.1526	1313	2896	1432
34.2027	1281	2781	1322
34.2528	1396	2688	1504
34.3029	1396	2667	1426
34.353	1500	2844	1576
34.4032	1240	2854	1289
34.4533	1292	2969	1452
34.5034	1385	2729	1406
34.5535	1469	2698	1491
34.6036	1302	2813	1497
34.6537	1177	3031	1751
34.7038	1406	3063	1602
34.7539	1313	3198	1751
34.804	1396	3260	1549
34.8541	1521	3417	1543
34.9042	1417	3365	1641
34.9544	1417	3052	1647
