	gcen4	gc3n4 tio2 water				
455.525167	15014	4108				
455.630653	14918	4148				
455.736139	14828	4246				
455.841624	15051	4121				
455.94711	15050	4173				
456.052595	14911	4035				
456.15808	15066	4137				
456.263565	15083	4156				
456.36905	15196	4165				
456.474534	15140	4116				
456.580019	15119	4154				
456.685503	15169	4127				
456.790987	15445	4106				
456.896471	15099	4173				
457.001955	15206	4087				
457.107439	15138	4165				
457.212922	15192	4227				
457.318405	15423	4163				
457.423889	15246	4237				
457.529372	15448	4218				
457.634854	15461	4252				
457.740337	15231	4186				
457.84582	15337	4227				
457.951302	15541	4136				
458.056784	15330	4228				
458.162266	15304	4166				
458.267748	15349	4258				
458.373229	15163	4266				
458.478711	15343	4243				
458.584192	15249	4221				
458.689673	15543	4269				
458.795155	15402	4237				
458.900635	15434	4344				
459.006116	15607	4280				
459.111597	15626	4371				
459.217077	15471	4355				
459.322557	15595	4384				
459.428037	15712	4315				
459.533517	15725	4326				
459.638997	15742	4411				
459.744476	15778	4354				
459.849956	15747	4271				
459.955435	15627	4385				
460.060914	15842	4387				
460.166393	15623	4290				
460.271871	15683	4447				
460.37735	15765	4368				
460.482828	15762	4419				
460.588306	15747	4248				
460.693784	15923	4321				
460.799262	15878	4492				
460.90474	15958	4418				
461.010218	15906	4404				
461.115695	15826	4455				
461.221172	15905	4511				
461.326649	15843	4446				
461.432126	16006	4367				
461.537603	15806	4389				
461.643079	15903	4401				
461.748556	15716	4472				
461.854032	15989	4493				
461.959508	15906	4454				
462.064984	15831	4459				
462.17046	15877	4342				
462.275935	15912	4471				
462.381411	15780	4368				
462.486886	16054	4444				
462.592361	15982	4534				
462.697836	15968	4537				
462.80331	16009	4479				
462.908785	15997	4513				
463.014259	16063	4415				
463.119734	15796	4448				
463.225208	16085	4547				
463.330682	16084	4456				
463.436155	15978	4612				
463.541629	16109	4467				
463.647102	15961	4567				
463.752576	16268	4501				
463.858049	16114	4361				
463.963522	16142	4494				
464.068994	16014	4502				
464.174467	15922	4562				
464.279939	16028	4471				
464.385412	16030	4570				
464.490884	16011	4423				
464.596356	16114	4506				
464.701827	16135	4469				
464.807299	16145	4473				
464.91277	16059	4512				
465.018241	16103	4479				
465.123713	16197	4497				
465.229183	16172	4453				
465.334654	16303	4460				
465.440125	16133	4493				
465.545595	15846	4545				
465.651065	16018	4546				
465.756536	16232	4486				
465.862005	16154	4516				
465.967475	16207	4598				
466.072945	16031	4594				
466.178414	16134	4474				
466.283883	16169	4548				
466.389353	16125	4616				
466.494821	16112	4493				
466.60029	16180	4523				
466.705759	15981	4490				
466.811227	16120	4522				
466.916695	16080	4417				
467.022164	16023	4557				
467.127631	16027	4648				
467.233099	16030	4521				
467.338567	16256	4547				
467.444034	16246	4472				
467.549501	16098	4523				
467.654968	15998	4562				
467.760435	16009	4436				
467.865902	16195	4626				
467.971369	16154	4564				
468.076835	16057	4493				
468.182301	16094	4581				
468.287767	16053	4546				
468.393233	16222	4480				
468.498699	16370	4523				
468.604165	16217	4594				
468.70963	16056	4442				
468.815095	16204	4609				
468.92056	16053	4610				
469.026025	16131	4551				
469.13149	16085	4563				
469.236955	16210	4538				
469.342419	16039	4574				
469.447883	16031	4528				
469.553347	16211	4581				
469.658811	15968	4544				
469.764275	16054	4639				
469.869739	16098	4621				
469.975202	16065	4527				
470.080665	16073	4502				
470.186128	15947	4595				
470.291591	16040	4529				
470.397054	15995	4632				
470.502516	16134	4584				
470.607979	15975	4607				
470.713441	16177	4556				
470.818903	16090	4571				
470.924365	16116	4573				
471.029827	16049	4579				
471.135288	16003	4588				
471.24075	16094	4534				
471.346211	15923	4564				
471.451672	15763	4463				
471.557133	15874	4591				
471.662594	15891	4523				
471.768054	16030	4630				
