	PhCN	PhCN/TiO2-Ethanol	PhCN-TiO2-water			
455.419681	8594	1621	5755			
455.525167	8636	1582	5820			
455.630653	8567	1612	5872			
455.736139	8746	1553	5858			
455.841624	8616	1619	5823			
455.94711	8698	1646	5763			
456.052595	8610	1700	5771			
456.15808	8791	1631	5771			
456.263565	8845	1627	5894			
456.36905	8767	1640	5912			
456.474534	8814	1668	5763			
456.580019	8780	1636	5755			
456.685503	8774	1628	5830			
456.790987	8881	1717	5834			
456.896471	9050	1669	5738			
457.001955	9097	1681	5884			
457.107439	9108	1646	5793			
457.212922	9214	1710	5890			
457.318405	8960	1679	5901			
457.423889	8989	1675	5812			
457.529372	9147	1637	5915			
457.634854	9206	1670	5900			
457.740337	9291	1664	5850			
457.84582	9332	1714	5964			
457.951302	9328	1709	5906			
458.056784	9231	1692	5852			
458.162266	9460	1690	5970			
458.267748	9342	1727	5908			
458.373229	9435	1698	5923			
458.478711	9398	1750	5890			
458.584192	9622	1689	5923			
458.689673	9621	1693	5977			
458.795155	9613	1690	5902			
458.900635	9603	1644	5970			
459.006116	9714	1652	5937			
459.111597	9570	1707	5976			
459.217077	9719	1742	5923			
459.322557	9676	1673	6068			
459.428037	9750	1753	6056			
459.533517	9853	1706	6018			
459.638997	9902	1804	6012			
459.744476	9805	1793	6020			
459.849956	9906	1764	6037			
459.955435	9975	1783	6027			
460.060914	10087	1706	6039			
460.166393	10063	1736	5940			
460.271871	10134	1763	6229			
460.37735	10041	1740	6129			
460.482828	10066	1725	6119			
460.588306	10193	1750	6154			
460.693784	10433	1772	6112			
460.799262	10100	1779	6118			
460.90474	10262	1728	6020			
461.010218	10344	1731	6244			
461.115695	10319	1772	6185			
461.221172	10235	1747	6105			
461.326649	10301	1829	6169			
461.432126	10249	1831	6169			
461.537603	10306	1742	6212			
461.643079	10519	1776	6132			
461.748556	10537	1767	6166			
461.854032	10546	1732	6233			
461.959508	10575	1752	6196			
462.064984	10703	1781	6127			
462.17046	10714	1788	6273			
462.275935	10632	1800	6214			
462.381411	10712	1795	6239			
462.486886	10678	1812	6398			
462.592361	10776	1751	6143			
462.697836	10589	1746	6265			
462.80331	10741	1821	6128			
462.908785	10744	1736	6127			
463.014259	10896	1795	6280			
463.119734	10980	1725	6217			
463.225208	11051	1860	6254			
463.330682	11020	1851	6171			
463.436155	10944	1774	6315			
463.541629	11009	1861	6354			
463.647102	10831	1853	6194			
463.752576	11192	1770	6338			
463.858049	11017	1873	6314			
463.963522	11025	1811	6367			
464.068994	11092	1837	6297			
464.174467	11228	1783	6242			
464.279939	11158	1847	6327			
464.385412	11181	1786	6322			
464.490884	11356	1791	6295			
464.596356	11354	1817	6310			
464.701827	11278	1834	6342			
464.807299	11428	1815	6453			
464.91277	11492	1867	6309			
465.018241	11421	1802	6360			
465.123713	11535	1886	6333			
465.229183	11569	1849	6357			
465.334654	11517	1761	6366			
465.440125	11510	1883	6371			
465.545595	11522	1774	6337			
465.651065	11559	1891	6503			
465.756536	11608	1830	6337			
465.862005	11634	1872	6357			
465.967475	11600	1886	6334			
466.072945	11749	1834	6379			
466.178414	11606	1914	6358			
466.283883	11771	1794	6417			
466.389353	11756	1881	6411			
466.494821	11838	1840	6533			
466.60029	11791	1877	6468			
466.705759	11902	1899	6415			
466.811227	11876	1883	6488			
466.916695	11797	1907	6432			
467.022164	11925	1802	6405			
467.127631	11903	1835	6463			
467.233099	11955	1905	6501			
467.338567	12093	1903	6383			
467.444034	12034	1924	6366			
467.549501	12079	1975	6424			
467.654968	12085	1928	6541			
467.760435	12223	1900	6383			
467.865902	12073	1925	6414			
467.971369	12301	1947	6451			
468.076835	12284	1876	6492			
468.182301	12235	1854	6452			
468.287767	12266	1898	6487			
468.393233	12275	1861	6591			
468.498699	12228	1890	6450			
468.604165	12336	1850	6530			
468.70963	12442	1918	6519			
468.815095	12364	1949	6531			
468.92056	12382	1966	6502			
469.026025	12458	1892	6433			
469.13149	12526	1945	6562			
469.236955	12375	1967	6463			
469.342419	12458	1863	6496			
469.447883	12533	1907	6543			
469.553347	12475	1906	6546			
469.658811	12462	1966	6635			
469.764275	12413	1884	6644			
469.869739	12742	1894	6597			
469.975202	12637	1902	6634			
470.080665	12622	1917	6560			
470.186128	12667	1938	6611			
470.291591	12615	1892	6624			
470.397054	12797	1927	6686			
470.502516	12779	1873	6606			
470.607979	12718	1946	6523			
470.713441	12728	1968	6549			
470.818903	12765	1976	6612			
470.924365	12769	2007	6742			
471.029827	12586	1982	6621			
471.135288	12758	1955	6626			
471.24075	12797	1899	6709			
471.346211	12838	1913	6709			
471.451672	12751	1990	6542			
471.557133	12855	1931	6754			
471.662594	12938	1930	6670			
471.768054	12797	1969	6701			
471.873515	12685	1898	6682			
471.978975	12840	1968	6789			
472.084435	12851	1947	6797			
472.189895	12874	2009	6777			
472.295354	12780	1947	6789			
472.400814	12970	1930	6798			
472.506273	12922	2056	6875			
472.611733	12942	1903	6720			
472.717192	13041	1993	6727			
472.82265	13068	1912	6813			
472.928109	13154	1950	6769			
473.033568	13109	1969	6778			
473.139026	13083	2009	6685			
473.244484	13085	2028	6635			
473.349942	13261	1977	6861			
473.4554	12943	1986	6776			
473.560858	13217	1950	6731			
473.666315	12962	1914	6705			
473.771773	12965	2008	6614			
473.87723	13159	1930	6775			
473.982687	12981	1967	6799			
474.088144	13046	1961	6755			
474.1936	13019	1970	6692			
474.299057	13097	2036	6877			
474.404513	12987	1956	6665			
474.509969	13228	1902	6784			
474.615425	13101	1977	6806			
474.720881	13108	2010	6918			
474.826337	13141	1940	6808			
474.931792	13238	2028	6894			
475.037248	13195	1918	6846			
475.142703	13306	1991	6821			
475.248158	13306	1963	6793			
475.353613	13273	1950	6781			
475.459067	13372	1987	6928			
475.564522	13334	1993	6751			
475.669976	13311	2002	6900			
475.77543	13201	2011	6706			
475.880884	13254	1922	6781			
475.986338	13220	1987	6781			
476.091792	13371	1994	6922			
476.197245	13171	2022	6883			
476.302699	13135	1995	6876			
476.408152	13264	2004	6920			
476.513605	13226	1963	6800			
476.619057	13073	1966	6949			
476.72451	13260	2031	6845			
476.829963	13181	1979	6754			
476.935415	13149	1962	6868			
477.040867	13320	1990	6836			
477.146319	13143	1964	6772			
477.251771	13295	1965	7000			
